SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC13978,50,0,450,0,0,0.5,0,0
SSC13979,59,1300,488,270,1125,0.6,893,2
SSC13980,42,3000,960,590,3164,0.8,2657,2.9
SSC13981,52,2550,820,193,2083,0.6,2083,2.3
SSC13982,29,2200,621,570,1746,1.2,1789,3.1
SSC13983,35,1517,762,300,1867,0.8,1519,2.5
SSC13984,56,1517,541,330,1221,0.8,928,2
SSC13985,52,1595,476,340,1108,0.8,798,2.1
SSC13986,49,1517,488,300,1122,0.8,842,2.1
SSC13987,32,0,424,0,850,0.7,900,2
SSC13988,48,937,544,225,1093,1,924,2
SSC13989,0,0,0,0,0,0,0,0
SSC13990,0,0,0,0,0,0,0,0
SSC13991,36,0,537,0,1312,1,1187,2.1
SSC13992,42,1350,575,25,1625,0.9,1374,2.6
SSC13993,51,1700,521,324,1375,1,1020,2.3
SSC13994,43,1300,422,305,955,0.8,900,2.7
SSC13995,56,1625,543,185,1174,0.8,1083,2.3
SSC13996,35,1600,675,285,1854,0.8,1437,2.1
SSC13997,52,1077,403,200,949,0.7,816,2.3
SSC13998,46,745,459,100,1125,0.8,604,1.9
SSC13999,53,0,337,0,725,0.8,724,2
SSC14000,47,1517,526,305,1231,0.9,1053,2.5
SSC14001,51,867,475,0,1268,0.8,1147,2.6
SSC14002,47,0,462,210,1375,0.5,1375,2.1
SSC14003,51,1500,463,290,1043,0.7,813,2.2
SSC14004,49,1083,430,200,951,0.8,818,2.4
SSC14005,44,861,437,240,949,0.9,758,2.4
SSC14006,26,2000,386,554,1751,1.4,1230,2.4
SSC14007,44,1800,565,360,1453,0.8,1160,2.4
SSC14008,43,1707,475,217,1281,0.8,950,2.4
SSC14009,42,0,450,213,824,0.6,774,1.9
SSC14010,54,0,262,0,537,0.5,537,2
SSC14011,45,542,556,43,1297,0.7,945,2.2
SSC14012,64,0,350,0,466,0.8,483,2.4
SSC14013,38,0,425,0,0,0,0,4
SSC14014,58,0,450,0,725,0.7,724,2
SSC14015,46,1400,508,300,1036,0.8,883,2.2
SSC14016,61,0,574,0,0,0,0,0
SSC14017,35,1842,425,50,949,1.9,919,2.9
SSC14018,52,1471,389,175,612,0.7,624,2
SSC14019,53,988,388,225,833,0.6,695,1.8
SSC14020,51,1400,464,125,1305,0.8,900,2
SSC14021,51,1454,427,295,1017,0.9,850,2.4
SSC14022,42,2184,855,80,2143,0.7,1875,2.6
SSC14023,58,0,333,0,0,0,0,0
SSC14024,45,1600,683,370,1843,1.3,1875,2.8
SSC14025,52,0,458,0,1375,0.7,724,2
