,ASGS_Code_2016,Tot_P_P
POA2338,2338,1430
POA2339,2339,679
POA2340,2340,49072
POA2341,2341,1572
POA2342,2342,471
POA2343,2343,4968
POA2344,2344,756
POA2345,2345,721
POA2346,2346,3149
POA2347,2347,1931
POA2350,2350,25339
POA2351,2351,976
POA2352,2352,2716
POA2353,2353,1126
POA2354,2354,3576
POA2355,2355,663
POA2356,2356,162
POA2357,2357,4159
POA2358,2358,3767
POA2359,2359,736
POA2360,2360,14529
POA2361,2361,909
POA2365,2365,3721
POA2369,2369,927
POA2370,2370,7687
POA2371,2371,1155
POA2372,2372,4742
POA2379,2379,313
POA2380,2380,10392
POA2381,2381,1193
POA2382,2382,1319
POA2386,2386,360
POA2387,2387,201
POA2388,2388,2674
POA2390,2390,8757
POA2395,2395,671
POA2396,2396,857
POA2397,2397,377
POA2398,2398,236
POA2399,2399,597
POA2400,2400,10084
POA2401,2401,321
POA2402,2402,1792
POA2403,2403,718
POA2404,2404,1838
POA2405,2405,514
POA2406,2406,823
POA2408,2408,376
POA2409,2409,1030
POA2410,2410,278
POA2411,2411,120
POA2415,2415,390
POA2420,2420,4023
POA2421,2421,1828
POA2422,2422,5338
POA2423,2423,2964
POA2424,2424,425
POA2425,2425,1780
POA2426,2426,720
POA2427,2427,3114
POA2428,2428,24009
POA2429,2429,9717
POA2430,2430,34018
POA2431,2431,5133
POA2439,2439,2941
POA2440,2440,21819
POA2441,2441,4345
POA2443,2443,8894
POA2444,2444,46284
POA2445,2445,6466
POA2446,2446,13330
POA2447,2447,7178
POA2448,2448,9000
POA2449,2449,2188
POA2450,2450,43894
POA2452,2452,15120
POA2453,2453,2768
POA2454,2454,7570
POA2455,2455,3000
POA2456,2456,14749
POA2460,2460,29216
POA2462,2462,2443
POA2463,2463,7545
POA2464,2464,6738
POA2465,2465,291
POA2466,2466,1730
POA2469,2469,4012
POA2470,2470,15225
POA2471,2471,2524
POA2472,2472,1857
POA2473,2473,3088
POA2474,2474,6332
POA2475,2475,383
POA2476,2476,778
POA2477,2477,12203
POA2478,2478,28310
POA2479,2479,4730
POA2480,2480,44599
